,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,371.629822229456,3.741286657622363e-79,1.2470955525407875e-76,-2.8165384094715953
HBBA,2,1142.0318248141086,5.86608393609177e-246,5.866083936091768e-243,-2.335787184528042
HINTW,1,6.83246839120338,0.1450108292875184,0.8455441940963173,1.0691664828358982
ENSGALG00000052767,2,1200.935733729857,9.98461424674594e-259,1.9969228493491878e-255,-2.3569744389647846
ENSGALG00000053077,1,179.3364625869054,1.0352305771069284e-37,2.957801648876938e-35,2.766802836304111
HBAD,2,882.0964452692168,1.2608409492484595e-189,8.405606328323065e-187,-1.8660216090774295
KPNA2,0,3.2930517502717063,0.5100338995574124,1.0,0.2167066922113633
ENSGALG00000047563,1,13.882496599922348,0.0076796767662235,0.0978302772767324,-0.7366773146086701
THY1,1,4.414692042175118,0.3527829757719159,1.0,-1.0838315908034708
ENSGALG00000050153,0,16.054524919736167,0.0029468652551435,0.0420980750734785,-1.2064508774674265
LDHA,1,510.5477291407541,3.50488329117172e-109,1.7524416455858599e-106,2.2424701670633227
CRIP1,1,57.730513696655,8.692495733381094e-12,5.268179232352177e-10,2.9885200425447813
MLANA,1,16.219564041909216,0.0027382582458252,0.0399745729317547,0.689713311548034
ID2,1,374.8406808279392,7.577189449342576e-80,3.03087577973703e-77,2.699632615999265
CD99,0,2.026054322559675,0.7309665922030086,1.0,0.5647846187835258
HIST1H101,1,2.0515742585941505,0.7262733655643819,1.0,-1.3351841915896294
HSPA5,1,19.753936865330456,0.0005584637392731,0.0102470410875798,0.6913945785380852
MT-MT-CO1,1,5.313065923986079,0.2566562747330512,1.0,0.07418000656465341
RSFR,1,9.346803397776146,0.0529920798096463,0.4256391952582032,3.5191994034709455
MT-ND3,0,21.85025601418232,0.0002146546208775,0.0043364569874242,0.2686754193477056
CDK1,1,1.7721808724622474,0.7775679044513866,1.0,0.011026053454905102
ENSGALG00000050596,1,7.1139313121584,0.1299885797651665,0.7887135217904375,0.15611920191728196
HSP90B1,1,36.23317484644376,2.5910537270170135e-07,8.636845756723378e-06,0.8360616700026859
IFI6,1,3.877590375269064,0.4228255947979707,1.0,0.9634741239748862
