,cluster,ktest,p-value,p-value_adjadj,log2fc
HBA1,2,175.8566415613313,5.784363454880492e-37,2.892181727440246e-34,-1.8616057755459763
HBBA,2,208.55511531148204,5.434604260388731e-44,5.434604260388731e-41,-1.2761700224911727
HINTW,1,13.042320531574106,0.0110708489155488,0.16401257652664888,1.412932587730412
ENSGALG00000052767,2,215.1276418391273,2.0956137637548305e-45,4.191227527509661e-42,-1.2780092790209272
ENSGALG00000053077,1,25.477883908397093,4.031819608495857e-05,0.0012879301971443593,1.4260312609301928
HBAD,2,133.45864389977743,7.089252154354403e-28,2.8357008617417613e-25,-0.8402636211037995
KPNA2,0,0.6504646617846821,0.9572941741526017,1.0,0.006699813876449185
ENSGALG00000047563,1,8.54779103584098,0.0734517727659156,0.6595446013011597,-0.5091684821649497
THY1,1,2.565857128130129,0.6328831396515329,1.0,-1.1462721655793777
ENSGALG00000050153,0,16.014398098445916,0.0029999042806482,0.057141033917108564,-1.026362701844181
LDHA,1,58.21445215863973,6.879598196937822e-12,1.0583997226058189e-09,0.7922605078154983
CRIP1,1,27.71725213801877,1.4231603149949142e-05,0.0005370416282999676,1.5672961520219832
MLANA,1,7.414100113210387,0.1155573125267832,0.8591621749203211,0.4278442971343402
ID2,1,106.02404901422578,5.12460903668344e-22,1.7082030122278133e-19,1.7000652075500433
CD99,0,3.926008684225876,0.4161120899259566,1.0,0.46738037175278824
HIST1H101,1,4.428525356791627,0.3511068503157345,1.0,-0.5985374602915329
HSPA5,1,16.40721920353185,0.0025186963149977,0.04987517455440991,0.5172147805308556
MT-MT-CO1,1,22.68517718435108,0.0001463465932444,0.004009495705326028,-0.1580397013073503
RSFR,1,14.363799555088098,0.006220061982485,0.10366769970808334,2.930780892593031
MT-ND3,0,30.44284018585717,3.976583612533286e-06,0.0001767370494459238,-0.3121262397516203
CDK1,1,2.7473874661619075,0.6009482503701428,1.0,0.04684037668012313
ENSGALG00000050596,1,2.9602561734282107,0.564498315190221,1.0,-0.5278097496048955
HSP90B1,1,16.169342331112034,0.0028001489699049,0.054904881762841175,0.33485452415723854
IFI6,1,0.4558880324261583,0.9776507520863597,1.0,2.6234995736700704
ENSGALG00000053107,1,4.507372155958153,0.3416742276922943,1.0,1.2229616440863413
CCDC170,0,2.134584806963767,0.7110214576858649,1.0,-0.6839289515221774
MT-ND4L,1,6.998309257435002,0.1359776003834243,0.9234542154905302,0.020367121514338754
ENSGALG00000011747,1,1.9303200211003195,0.7485731596325707,1.0,-1.0594380866143838
SAT1,0,29.296783631032994,6.803838204357083e-06,0.00028349325851487845,-1.070079489363866
TUBB1,0,26.7721952512319,2.2102157538272866e-05,0.0007893627692240309,-1.2025890818751785
DDC,1,0.2945240151000573,0.9901649169631104,1.0,inf
ENSGALG00000040263,1,10.474283134460087,0.0331530827742696,0.3923441748434272,1.177157954473217
LBH,1,4.968623633731204,0.2905320847324024,1.0,0.12342597053542666
PTGS1,1,2.8278547992123886,0.5870341098251017,1.0,-0.3917482000288669
ASTL,1,3.265597011379499,0.5144015182236295,1.0,inf
SMC2,1,4.941550424539875,0.293347537178823,1.0,-0.21168041313201386
MARCKSL1,0,1.163268625473832,0.8841083772628668,1.0,-3.491283873579782
FTL,1,5.882328981031673,0.2081100495325268,1.0,0.7375348169160995
PCNA,1,30.004217027081747,4.8847716539713645e-06,0.00021238137625962454,0.519537465299396
RPLP1,0,5.085197528143373,0.2786668791372906,1.0,-0.19397442665965495
RLN3,1,4.742022859007525,0.3148060315374328,1.0,-0.09896645080102112
PDLIM1,0,0.9187109623376428,0.9218612137232156,1.0,-1.5395390421870025
LAMP3,1,44.86231328498223,4.246842695316346e-09,3.266802073320266e-07,1.281938363558677
ATP1B1,1,3.74438462663763,0.4417033823161166,1.0,0.6924469273875615
LY6E,1,42.52441380196719,1.2987007295720429e-08,9.276433782657449e-07,0.8311939241303447
CSTA,0,5.1478935102241525,0.2724565202492627,1.0,0.228050520759141
ENSGALG00000043758,1,13.350194725103805,0.0096855869155976,0.14675131690299395,1.060232144048233
