,cluster,ktest,p-value,p-value_adjadj,log2fc
AACS,1,3.857171993474385,0.42568046975054097,0.4907149859624292,-0.1392868943291817
ACSL6,2,17.542521987753357,0.0015157946316315155,0.005032438177016632,0.36492978649473196
ACSS1,0,11.232342743448383,0.024073238005076745,0.047573303676699284,1.853499060536876
ALAS1,0,8.210830845786717,0.08415342997736397,0.14551530600252519,0.29123998470160667
AMDHD2,0,12.813319856098236,0.012224900993924153,0.026017096987069353,0.3681989939104527
ARHGEF2,1,17.23719259400436,0.0017382125601346067,0.005548909326583552,0.6502129134157469
BATF,1,2.2174023812151327,0.6958445563820377,0.7500662101260926,0.11175667376390769
BCL11A,0,39.81462141767763,4.727842311999758e-08,3.924109118959799e-07,0.7622181673195013
betaglobin,2,83.28792844707473,3.5003679883345405e-17,9.684351434392228e-16,1.2704737418084946
BPI,1,25.751221148757335,3.551775270245693e-05,0.00017341020437081913,0.6507300819089369
CD151,1,21.2182229465601,0.00028662918622635795,0.0012521169714098796,0.3855779665329078
CD44,1,7.834038496895692,0.09785027787360037,0.16243146127017663,-0.46197070591051137
CREG1,0,15.786550894438308,0.003319370827525701,0.008609618083894786,0.40978247120497824
CRIP2,1,10.246449312728151,0.03647472244828565,0.06802248136668976,0.23779661949028116
CTCF,0,3.2583286775706326,0.515561704161926,0.5782651546681062,0.12095919082945096
CTSA,2,110.56158334249936,5.523538935751416e-23,2.2922686583368374e-21,1.099205968350425
CYP51A1,1,27.71639473309247,1.4237294793636914e-05,8.440681913370456e-05,0.6413746276830609
DCP1A,0,34.824281308339756,5.047864396092871e-07,3.491439540630902e-06,0.6704869444423739
DCTD,0,20.97731375466377,0.00031996572181791167,0.0013278577455443333,0.7103930092919527
DHCR24,1,0.44420725919465287,0.9787001461962408,1.0,-0.04411339254890172
DHCR7,1,5.697420971289497,0.22291330894209235,0.2803307493993366,0.2450819151698409
DPP7,0,6.891959011972667,0.14170904532429704,0.19085008711179058,-0.015760766214456726
EGFR,0,11.735471169220983,0.019430697037648204,0.04031869635312003,0.1563182452352031
EMB,1,2.903442464971192,0.5741119248025008,0.6269906547185207,0.15942718232311098
FAM208B,0,3.1588179091018334,0.531608124450536,0.5883129910585931,0.1759777582041521
FHL3,1,7.4420752418896265,0.1142908218064631,0.1673388313793682,0.08217314964740015
FNIP1.F1.R1,0,0.4946203485229107,0.9740225709804787,1.0,-0.19755211998026181
GLRX5,0,46.31639993307817,2.1163432896085956e-09,2.9276082172918904e-08,1.2524049999737172
GPT2,2,4.042662836360426,0.4002628522761451,0.4679129118157753,0.059000972365209355
GSN,1,0.31340484583864053,0.9889324955767256,1.0,-0.036823148812506167
HMGCS1,1,7.666918647993983,0.10457017555510645,0.16691008790526604,0.031389946069536594
HRAS1,1,7.041362001342847,0.1337185107846528,0.19135579991596866,0.3574434393054836
HSD17B7,1,9.673155453893573,0.04630834449129932,0.08355636071256183,-0.08718318800564306
HSP90AA1,0,73.04506643195917,5.1612810656014906e-15,1.0709658211123093e-13,0.916945351667268
HYAL1,2,7.87926116184359,0.09610249183781984,0.16243146127017663,0.7293837939603667
LCP1,1,10.220052398479584,0.036879658572301674,0.06802248136668976,-0.2064312152072579
LDHA,1,20.17694134431924,0.0004607915521192675,0.0017384408557226912,0.4965002857508205
MAPK12,2,7.428154178494949,0.11491943841715647,0.1673388313793682,0.38704968253506594
MFSD2B,2,0.19136370226588706,0.995704266611571,0.9957042666115711,-0.3515930557847294
MID2,1,9.153563644948381,0.05737366110238801,0.10131944407442989,0.18234802606575684
MKNK2,2,16.298113756972747,0.0026441488061061747,0.007567736238165948,0.24861886804191805
MTFR1,0,25.906562519173804,3.304743635901795e-05,0.0001714335761124056,0.5463806712002938
MVD,1,5.697417346755288,0.222913607956099,0.2803307493993366,-0.1436863079958667
MYO1G,1,6.876457197351819,0.14256271567386766,0.19085008711179058,-0.48145363153423676
NCOA4,2,40.47678306181229,3.449052922888571e-08,3.5783924074968925e-07,0.47809286036537474
NSDHL,1,6.970267898279222,0.13746779767302794,0.1933869018112088,-0.0409171686327135
PDLIM7,1,16.034281115025102,0.002973506790764065,0.008226702121113913,0.48665252908739964
PIK3CG,0,22.00899084626158,0.0001995962014857355,0.000920360262406447,0.9363288667828312
PLAG1,2,6.549403661671972,0.1617040481044993,0.20970993738552252,0.24420301500571304
PLS1,0,53.62759906914498,6.297601030285682e-11,1.0454017710274232e-09,0.9207920368744323
PLS3,0,1.387497577335884,0.8463650610567615,0.900619231637323,0.15445960214176283
PPP1R15B,0,14.96690928022566,0.004770343870337606,0.01199813761327337,0.17559353469442499
PTPRC,1,6.625248800899885,0.15706779178407224,0.20693058282663485,0.29119402563004054
RBM38,2,14.886282920655967,0.0049429794105854755,0.012066685031723366,0.8812878723131383
REXO2,0,11.668680262755476,0.019992857215246428,0.040473345094279356,0.24281598350672517
RFFL,2,16.613658184735726,0.002297162414206477,0.0068094457278263425,0.47775707145741597
RPL22L1,2,36.066228693332526,2.804321518393593e-07,2.115988054787893e-06,0.5153727119197109
RSFR,1,12.931274607568259,0.011616526410765783,0.02537293926562,0.15946095840928046
RUNX2,1,18.6059361940657,0.0009391493130651508,0.0032478913743503126,0.5118028350160048
sca2,1,7.782837707521482,0.0998649567432619,0.16252532175864193,0.31334439519312374
SCD,1,4.557865918066114,0.3357411150466729,0.4038625007083167,-0.27878281891217616
SERPINI1,0,0.974861062702949,0.913583614240849,0.9598410124302591,2.3056776405308503
SLC25A37,2,13.77509001808486,0.008048576183460079,0.018054914141275313,0.3871845689828869
SLC6A9,2,40.133519653415746,4.061763958819043e-08,3.7458489842442284e-07,0.6753245786961093
SLC9A3R2,2,7.514995632399305,0.11104986380918984,0.1692976663631292,-0.12385670244453004
SMPD1,0,4.303829832949908,0.3664457690889127,0.43449998334828216,0.48582413519058515
SNX22,2,5.24619359355489,0.2629562348880077,0.32575175366723336,0.4261017817265722
SNX27,0,18.99224407610296,0.0007887065925688897,0.002846202051444254,0.329633159090853
SQLE,1,6.9097709703175525,0.1407339388931761,0.19281722560519107,0.24080942572228203
SQSTM1,0,15.904178553147489,0.0031504740896886067,0.008435140304650141,0.40273139681269954
STARD4,1,7.489228700679707,0.11218520060207357,0.1692976663631292,-0.0982386110711067
STX12,2,43.55614192233203,7.932697557329796e-09,9.405912817976757e-08,0.5163022202309792
SULF2,1,3.688114160471118,0.44985701187980076,0.5114812600825132,0.19427204471168602
SULT1E1,0,10.780728774927463,0.029142051008235956,0.056250935667060104,0.07382530192538106
TADA2L,0,20.232415117584743,0.00044930735369816025,0.0017384408557226912,0.5482159698491855
TBC1D7,2,123.55821333192392,9.278761451377794e-26,7.70137200464357e-24,1.1786372407531611
TNFRSF21,0,7.5911050450803295,0.10775840030708288,0.16875372123562035,0.7226523716778548
TPP1,0,5.041138945764319,0.28310237028607976,0.34555142255506793,0.149202528956093
TTYH2,2,17.14695483455184,0.001809905017996859,0.005563782092360715,0.8916956482385018
UCK1,2,29.3738736027556,6.562699790536966e-06,4.1900314047274475e-05,0.6578305666781679
VDAC3,0,13.892570104932195,0.007645939762729149,0.017628138897403316,0.3355170034880673
WDR91,0,13.999140005036374,0.0072978009789538495,0.017306213750090556,0.19264437498632178
XPNPEP1,0,27.35623096707684,1.6839927714481275e-05,9.318093335346305e-05,0.5769383769402247
